Account Type,Fund,Department,Business Unit,Account Classification,Account Code And Description,2019 Adopted Budget,2020 Adopted Budget,2021 Projected Budget,Fund Number,Department Number,Business Unit Number
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61010 REGULAR PAY,"349,587","358,482","367,499.75",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61510 HEALTH INSURANCE,"50,168","29,123","29,122.89",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61615 LIFE INSURANCE,366,370,380.04,100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61625 AUTO ALLOWANCE,"1,868","1,868","1,867.56",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61630 SHOE ALLOWANCE,155,155,155,100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61710 IMRF,"22,361","31,332","32,119.71",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61725 SOCIAL SECURITY,"20,757","20,705","21,122.44",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Salary and Benefits,61730 MEDICARE,"5,724","5,228","5,358.14",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,61060 SEASONAL EMPLOYEES,"12,100","12,100","12,100",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,62295 TRAINING & TRAVEL,"3,900","4,300","4,300",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,62360 MEMBERSHIP DUES,"2,450","2,450","2,450",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,62380 COPY MACHINE CHARGES,"2,500","2,500","2,500",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,62705 BANK SERVICE CHARGES,"1,000","1,000","1,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,64015 NATURAL GAS,"40,000","35,000","35,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,64540 TELECOMMUNICATIONS - WIRELESS,"22,000","27,000","27,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65020 CLOTHING,"62,150","62,150","62,150",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65025 FOOD,"1,000","1,000","1,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65085 MINOR EQUIPMENT & TOOLS,500,500,500,100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65090 SAFETY EQUIPMENT,"2,000","2,000","2,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65095 OFFICE SUPPLIES,"1,500","1,500","1,500",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65125 OTHER COMMODITIES,"1,300","1,300","1,300",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65555 IT COMPUTER HARDWARE,"5,000",0,0,100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Services and Supplies,65620 OFFICE MACH. & EQUIP.,"2,000","2,000","2,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Capital Outlay,65515 OTHER IMPROVEMENTS,"3,000","3,000","3,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Insurance and Other Chargebacks,66030 TRANSFER TO INSURANCE - RISK,"1,163,514","1,163,514","1,163,514",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Contingencies,68205 CONTINGENCIES,"1,000","1,000","1,000",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Interfund Transfers,62305 RENTAL OF AUTO-FLEET MAINTENANCE,"992,779","992,779","992,779",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Interfund Transfers,62309 RENTAL OF AUTO REPLACEMENT,"584,075","584,075","584,075",100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PUBLIC WORKS AGENCY ADMIN,Interfund Transfers,66025 TRANSFER TO DEBT SERVICE - ERI,"212,408",0,0,100,40,4105
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Salary and Benefits,61010 REGULAR PAY,"101,449","103,042","105,618.87",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Salary and Benefits,61510 HEALTH INSURANCE,"18,162","19,030","19,029.54",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Salary and Benefits,61615 LIFE INSURANCE,138,139,142.44,100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Salary and Benefits,61710 IMRF,"6,490","9,006","9,231.05",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Salary and Benefits,61725 SOCIAL SECURITY,"6,458","6,389","6,548.37",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Salary and Benefits,61730 MEDICARE,"1,511","1,495","1,531.47",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,62295 TRAINING & TRAVEL,"5,225","5,750","5,750",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,62315 POSTAGE,"1,000","1,000","1,000",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,62340 IT COMPUTER SOFTWARE,"2,100","2,100","2,100",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,62360 MEMBERSHIP DUES,"1,000","1,000","1,000",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,62375 RENTALS,"2,810","2,810","2,810",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,64505 TELECOMMUNICATIONS,"6,000","6,000","6,000",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,"65010 BOOKS, PUBLICATIONS, MAPS",300,300,300,100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,65020 CLOTHING,"1,200","1,200","1,200",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,65090 SAFETY EQUIPMENT,"3,000","3,000","3,000",100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,ENVIRONMENTAL SERVICES,Services and Supplies,65095 OFFICE SUPPLIES,700,700,700,100,40,4300
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61010 REGULAR PAY,"396,021","407,292","421,914.89",100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61110 OVERTIME PAY,"16,000","20,000","20,000",100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61510 HEALTH INSURANCE,"72,517","76,173","76,172.68",100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61615 LIFE INSURANCE,188,196,201.24,100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61630 SHOE ALLOWANCE,"1,500","1,680","1,680",100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61710 IMRF,"25,331","35,598","36,875.02",100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61725 SOCIAL SECURITY,"25,302","25,357","26,262.94",100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Salary and Benefits,61730 MEDICARE,"5,918","5,931","6,142.19",100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,RECYCLING AND ENVIRONMENTAL MAIN,Interfund Transfers,69520 TRANSFER TO SOLID WASTE,"150,000",0,0,100,40,4310
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61010 REGULAR PAY,"1,202,272","1,260,342","1,292,037.12",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61110 OVERTIME PAY,"25,000","25,000","25,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61510 HEALTH INSURANCE,"243,858","294,608","294,607.28",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61615 LIFE INSURANCE,618,711,730.29,100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61630 SHOE ALLOWANCE,"4,800","4,500","4,500",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61710 IMRF,"76,902","110,154","112,922.64",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61725 SOCIAL SECURITY,"76,829","78,421","80,385.42",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Salary and Benefits,61730 MEDICARE,"17,968","18,341","18,799.88",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,61060 SEASONAL EMPLOYEES,"20,000","24,500","24,500",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,62385 TREE SERVICES,"75,000","75,000","75,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,62415 RESIDENTIAL DEBRIS/REMOVAL CONTRACTUAL COSTS,"3,000",0,0,100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,62496 DED INOCULATION,"38,000","38,000","38,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,62497 INOCULATION FUNDING- ANNUAL AMORTIZATION,"250,000","800,000","250,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,65005 AGRI/BOTANICAL SUPPLIES,"135,000","135,000","135,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,65055 MATER. TO MAINT. IMP.,0,"3,000","3,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,65075 MEDICAL & LAB SUPPLIES,500,500,500,100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,65085 MINOR EQUIPMENT & TOOLS,"1,000","1,000","1,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,FORESTRY,Services and Supplies,65090 SAFETY EQUIPMENT,"4,000","7,000","7,000",100,40,4320
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61010 REGULAR PAY,"1,148,843","1,148,879","1,210,854.95",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61110 OVERTIME PAY,"20,000","25,000","25,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61510 HEALTH INSURANCE,"240,834","232,528","238,777.43",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61615 LIFE INSURANCE,669,711,731.4,100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61630 SHOE ALLOWANCE,"4,500","4,500","4,500",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61710 IMRF,"73,484","100,412","105,827.91",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61725 SOCIAL SECURITY,"73,410","71,510","75,352.25",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Salary and Benefits,61730 MEDICARE,"17,169","16,724","17,622.78",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Services and Supplies,61060 SEASONAL EMPLOYEES,"34,000","34,000","34,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Services and Supplies,62195 LANDSCAPE MAINTENANCE SERVICES,"142,000","142,000","142,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Services and Supplies,62199 PARK MNTNCE & FURNITURE RPLCMN,"20,000","20,000","20,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Services and Supplies,65005 AGRI/BOTANICAL SUPPLIES,"27,000","27,000","27,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Services and Supplies,65055 MATER. TO MAINT. IMP.,"12,000","12,000","12,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Services and Supplies,65070 OFFICE/OTHER EQT MTN MATL,"17,500","17,500","17,500",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Services and Supplies,65085 MINOR EQUIPMENT & TOOLS,"3,500","3,500","3,500",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Capital Outlay,65550 AUTOMOTIVE EQUIPMENT,"26,000","26,000","26,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,GREENWAYS,Capital Outlay,65625 FURNITURE & FIXTURES,"5,000","5,000","5,000",100,40,4330
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Salary and Benefits,61110 OVERTIME PAY,"17,057","5,000","5,000",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,61060 SEASONAL EMPLOYEES,"15,000","15,000","15,000",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62210 PRINTING,"6,750","6,750","6,750",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62235 OFFICE EQUIPMENT MAINT,"2,100","2,100","2,100",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62245 OTHER EQMT MAINTENANCE,200,200,200,100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62275 POSTAGE CHARGEBACKS,"2,700","2,700","2,700",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62295 TRAINING & TRAVEL,"5,890","6,500","6,500",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62315 POSTAGE,250,250,250,100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62360 MEMBERSHIP DUES,"2,310","2,310","2,310",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,62375 RENTALS,"4,000","4,000","4,000",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,64545 PERSONAL COMPUTER SOFTWARE,"18,500",0,0,100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,"65010 BOOKS, PUBLICATIONS, MAPS",400,400,400,100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,65085 MINOR EQUIPMENT & TOOLS,"1,750","1,750","1,750",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,65090 SAFETY EQUIPMENT,550,550,550,100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,65095 OFFICE SUPPLIES,"1,766","1,766","1,766",100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,CAPITAL PLANNING & ENGINEERING,Services and Supplies,65105 PHOTO/DRAFTING SUPPLIE,750,750,750,100,40,4400
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREETS AND RIGHT OF WAY,Salary and Benefits,61010 REGULAR PAY,"148,494","151,402","154,594.22",100,40,4410
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREETS AND RIGHT OF WAY,Salary and Benefits,61510 HEALTH INSURANCE,"33,831","35,359","35,358.63",100,40,4410
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREETS AND RIGHT OF WAY,Salary and Benefits,61615 LIFE INSURANCE,96,90,100.2,100,40,4410
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREETS AND RIGHT OF WAY,Salary and Benefits,61630 SHOE ALLOWANCE,300,525,525,100,40,4410
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREETS AND RIGHT OF WAY,Salary and Benefits,61710 IMRF,"9,499","13,233","13,511.71",100,40,4410
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREETS AND RIGHT OF WAY,Salary and Benefits,61725 SOCIAL SECURITY,"9,472","9,420","9,617.38",100,40,4410
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREETS AND RIGHT OF WAY,Salary and Benefits,61730 MEDICARE,"2,215","2,203","2,249.31",100,40,4410
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61010 REGULAR PAY,"159,854","162,509","166,619.21",100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61510 HEALTH INSURANCE,"32,325","32,291","32,290.75",100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61615 LIFE INSURANCE,169,156,174,100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61625 AUTO ALLOWANCE,900,825,900,100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61626 CELL PHONE ALLOWANCE,504,462,504,100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61630 SHOE ALLOWANCE,150,305,305,100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61710 IMRF,"10,225","14,204","14,562.55",100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61725 SOCIAL SECURITY,"10,302","10,175","10,436.39",100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,TRANSPORTATION,Salary and Benefits,61730 MEDICARE,"2,410","2,380","2,440.8",100,40,4420
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PARKS AND FACILITIES,Salary and Benefits,61010 REGULAR PAY,"46,317","47,045","48,221.06",100,40,4430
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PARKS AND FACILITIES,Salary and Benefits,61510 HEALTH INSURANCE,"9,407","9,304","9,303.3",100,40,4430
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PARKS AND FACILITIES,Salary and Benefits,61615 LIFE INSURANCE,63,58,64.56,100,40,4430
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PARKS AND FACILITIES,Salary and Benefits,61630 SHOE ALLOWANCE,0,78,77.5,100,40,4430
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PARKS AND FACILITIES,Salary and Benefits,61710 IMRF,"2,963","4,112","4,214.63",100,40,4430
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PARKS AND FACILITIES,Salary and Benefits,61725 SOCIAL SECURITY,"2,949","2,922","2,994.57",100,40,4430
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,PARKS AND FACILITIES,Salary and Benefits,61730 MEDICARE,690,684,700.35,100,40,4430
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61010 REGULAR PAY,"97,430","105,053","107,678.16",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61510 HEALTH INSURANCE,"4,457","4,594","4,593.56",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61615 LIFE INSURANCE,132,130,145.2,100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61625 AUTO ALLOWANCE,"1,011",929,"1,012.56",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61630 SHOE ALLOWANCE,117,117,116.25,100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61710 IMRF,"6,233","9,182","9,411.14",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61725 SOCIAL SECURITY,"5,971","6,180","6,179.91",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Salary and Benefits,61730 MEDICARE,"1,472","1,539","1,577.69",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,61060 SEASONAL EMPLOYEES,"4,500",0,0,100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,62235 OFFICE EQUIPMENT MAINT,400,400,400,100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,62245 OTHER EQMT MAINTENANCE,"2,000","2,000","2,000",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,62295 TRAINING & TRAVEL,"5,225","5,750","5,750",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,62360 MEMBERSHIP DUES,"1,000","1,000","1,000",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,64505 TELECOMMUNICATIONS,"7,000","7,000","7,000",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,"65010 BOOKS, PUBLICATIONS, MAPS",333,333,333,100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,65055 MATER. TO MAINT. IMP.,"1,750","1,750","1,750",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,65085 MINOR EQUIPMENT & TOOLS,"4,800","4,800","4,800",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,65090 SAFETY EQUIPMENT,"1,300","1,300","1,300",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,65095 OFFICE SUPPLIES,"2,550","2,550","2,550",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Services and Supplies,65555 IT COMPUTER HARDWARE,"1,500","1,500","1,500",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,INFRASTRUCTURE MAINTENANCE,Capital Outlay,65625 FURNITURE & FIXTURES,"3,500","3,500","3,500",100,40,4500
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREET MAINTENANCE,Salary and Benefits,61010 REGULAR PAY,"1,037,786","1,133,993","1,164,396.72",100,40,4510
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREET MAINTENANCE,Salary and Benefits,61110 OVERTIME PAY,"20,000","20,000","20,000",100,40,4510
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREET MAINTENANCE,Salary and Benefits,61510 HEALTH INSURANCE,"198,675","240,708","240,707.69",100,40,4510
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREET MAINTENANCE,Salary and Benefits,61615 LIFE INSURANCE,543,578,646.32,100,40,4510
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREET MAINTENANCE,Salary and Benefits,61630 SHOE ALLOWANCE,"4,500","4,200","4,200",100,40,4510
Expenses,GENERAL FUND,PUBLIC WORKS AGENCY,STREET MAINTENANCE,Salary and Benefits,61710 IMRF,"66,334","99,111","101,767.67",100,40,4510
